Datetime,load,pv,price
2016-03-04 00:00:00,0.58,0.0,0.02215
2016-03-04 01:00:00,0.563,0.0,0.02003
2016-03-04 02:00:00,0.28,0.0,0.01975
2016-03-04 03:00:00,0.252,0.0,0.01919
2016-03-04 04:00:00,0.257,0.0,0.01899
2016-03-04 05:00:00,0.418,0.01,0.02018
2016-03-04 06:00:00,1.018,0.186,0.02692
2016-03-04 07:00:00,0.734,0.799,0.03173
2016-03-04 08:00:00,1.277,1.191,0.03397
2016-03-04 09:00:00,0.723,1.269,0.03004
2016-03-04 10:00:00,1.018,1.12,0.02669
2016-03-04 11:00:00,0.462,1.308,0.02378
2016-03-04 12:00:00,1.625,1.175,0.02248
2016-03-04 13:00:00,0.692,0.713,0.02178
2016-03-04 14:00:00,1.126,0.714,0.02186
2016-03-04 15:00:00,0.339,0.265,0.02248
2016-03-04 16:00:00,0.192,0.031,0.02417
2016-03-04 17:00:00,1.989,0.0,0.0292
2016-03-04 18:00:00,1.071,0.0,0.03399
2016-03-04 19:00:00,1.84,0.0,0.03106
2016-03-04 20:00:00,1.439,0.0,0.0279
2016-03-04 21:00:00,0.801,0.0,0.02352
2016-03-04 22:00:00,0.675,0.0,0.0238
2016-03-04 23:00:00,0.422,0.0,0.02155
2016-03-05 00:00:00,0.437,0.0,0.01915
2016-03-05 01:00:00,0.452,0.0,0.01917
2016-03-05 02:00:00,0.323,0.0,0.01904
2016-03-05 03:00:00,0.25,0.0,0.01896
2016-03-05 04:00:00,0.25,0.0,0.01888
2016-03-05 05:00:00,0.23,0.0,0.01901
2016-03-05 06:00:00,0.736,0.02,0.01916
2016-03-05 07:00:00,0.884,0.08,0.02075
2016-03-05 08:00:00,0.415,0.097,0.02455
2016-03-05 09:00:00,1.228,0.129,0.0269
2016-03-05 10:00:00,0.81,0.23,0.02478
2016-03-05 11:00:00,0.851,0.228,0.02463
2016-03-05 12:00:00,0.893,0.313,0.02425
2016-03-05 13:00:00,1.805,0.27,0.02114
2016-03-05 14:00:00,0.801,0.279,0.02042
2016-03-05 15:00:00,0.471,0.124,0.02057
2016-03-05 16:00:00,1.73,0.009,0.02125
2016-03-05 17:00:00,0.956,0.0,0.02592
2016-03-05 18:00:00,0.832,0.0,0.03402
2016-03-05 19:00:00,0.672,0.0,0.035
2016-03-05 20:00:00,0.708,0.0,0.02786
2016-03-05 21:00:00,0.769,0.0,0.02444
2016-03-05 22:00:00,0.74,0.0,0.02518
2016-03-05 23:00:00,0.558,0.0,0.02
2016-03-06 00:00:00,0.228,0.0,0.02069
2016-03-06 01:00:00,0.28,0.0,0.01994
2016-03-06 02:00:00,0.24,0.0,0.01913
2016-03-06 03:00:00,0.232,0.0,0.01869
2016-03-06 04:00:00,0.239,0.0,0.01858
2016-03-06 05:00:00,0.221,0.0,0.01883
2016-03-06 06:00:00,0.24,0.01,0.01865
2016-03-06 07:00:00,0.476,0.175,0.01878
2016-03-06 08:00:00,0.296,0.745,0.01928
2016-03-06 09:00:00,0.301,1.618,0.01999
2016-03-06 10:00:00,0.336,0.962,0.02026
2016-03-06 11:00:00,1.531,0.765,0.02051
2016-03-06 12:00:00,1.04,0.87,0.02002
2016-03-06 13:00:00,1.108,1.071,0.01914
2016-03-06 14:00:00,0.314,0.75,0.01824
2016-03-06 15:00:00,0.416,0.697,0.01823
2016-03-06 16:00:00,0.674,0.158,0.01873
2016-03-06 17:00:00,0.705,0.0,0.02057
2016-03-06 18:00:00,0.633,0.0,0.02893
2016-03-06 19:00:00,0.971,0.0,0.03162
2016-03-06 20:00:00,1.009,0.0,0.02917
2016-03-06 21:00:00,0.925,0.0,0.02544
2016-03-06 22:00:00,0.762,0.0,0.02744
2016-03-06 23:00:00,0.55,0.0,0.02115
2016-03-07 00:00:00,0.533,0.0,0.02204
2016-03-07 01:00:00,0.517,0.0,0.02205
2016-03-07 02:00:00,0.425,0.0,0.02034
2016-03-07 03:00:00,0.25,0.0,0.02002
2016-03-07 04:00:00,0.25,0.0,0.02009
2016-03-07 05:00:00,0.655,0.0,0.02187
2016-03-07 06:00:00,0.528,0.155,0.03234
2016-03-07 07:00:00,0.207,0.849,0.03597
2016-03-07 08:00:00,0.248,1.561,0.03779
2016-03-07 09:00:00,0.229,2.129,0.03307
2016-03-07 10:00:00,0.52,0.88,0.03198
2016-03-07 11:00:00,0.4,1.61,0.02996
2016-03-07 12:00:00,0.804,1.956,0.02798
2016-03-07 13:00:00,0.397,0.762,0.02744
2016-03-07 14:00:00,0.621,0.597,0.02772
2016-03-07 15:00:00,0.547,0.722,0.0271
2016-03-07 16:00:00,0.413,0.199,0.03007
2016-03-07 17:00:00,1.567,0.0,0.03397
2016-03-07 18:00:00,1.175,0.0,0.04829
2016-03-07 19:00:00,1.847,0.0,0.04665
2016-03-07 20:00:00,1.257,0.0,0.03003
2016-03-07 21:00:00,0.918,0.0,0.02795
2016-03-07 22:00:00,0.84,0.0,0.02696
2016-03-07 23:00:00,0.643,0.0,0.02447
2016-03-08 00:00:00,0.551,0.0,0.02239
2016-03-08 01:00:00,0.491,0.0,0.02291
2016-03-08 02:00:00,0.48,0.0,0.02281
2016-03-08 03:00:00,0.323,0.0,0.022
2016-03-08 04:00:00,0.24,0.0,0.02167
2016-03-08 05:00:00,0.626,0.0,0.0227
2016-03-08 06:00:00,0.523,0.107,0.02744
2016-03-08 07:00:00,0.326,0.545,0.03773
2016-03-08 08:00:00,0.185,0.937,0.03908
2016-03-08 09:00:00,0.225,0.7,0.03498
2016-03-08 10:00:00,0.271,0.665,0.02861
2016-03-08 11:00:00,0.379,1.113,0.02542
2016-03-08 12:00:00,0.232,1.474,0.0251
2016-03-08 13:00:00,0.322,0.51,0.02464
2016-03-08 14:00:00,0.229,1.281,0.02481
2016-03-08 15:00:00,0.546,0.663,0.02509
2016-03-08 16:00:00,0.254,0.194,0.02792
2016-03-08 17:00:00,0.915,0.0,0.0331
2016-03-08 18:00:00,0.848,0.0,0.04493
2016-03-08 19:00:00,0.877,0.0,0.04058
2016-03-08 20:00:00,0.821,0.0,0.03194
2016-03-08 21:00:00,1.236,0.0,0.02507
2016-03-08 22:00:00,1.592,0.0,0.0272
2016-03-08 23:00:00,1.439,0.0,0.02261
2016-03-09 00:00:00,0.292,0.0,0.0238
2016-03-09 01:00:00,0.201,0.0,0.02203
2016-03-09 02:00:00,0.219,0.0,0.02094
2016-03-09 03:00:00,0.182,0.0,0.02008
2016-03-09 04:00:00,0.208,0.0,0.02001
2016-03-09 05:00:00,0.692,0.0,0.02114
2016-03-09 06:00:00,0.54,0.168,0.02495
2016-03-09 07:00:00,0.299,0.66,0.03192
2016-03-09 08:00:00,0.179,0.948,0.02991
2016-03-09 09:00:00,0.28,1.559,0.02503
2016-03-09 10:00:00,0.317,2.203,0.02343
2016-03-09 11:00:00,0.712,2.554,0.02385
2016-03-09 12:00:00,1.565,2.32,0.02228
2016-03-09 13:00:00,0.366,2.046,0.02196
2016-03-09 14:00:00,0.289,1.479,0.02248
2016-03-09 15:00:00,0.488,0.718,0.02305
2016-03-09 16:00:00,0.487,0.175,0.02483
2016-03-09 17:00:00,1.0,0.01,0.033
2016-03-09 18:00:00,1.466,0.0,0.03877
2016-03-09 19:00:00,1.129,0.0,0.03799
2016-03-09 20:00:00,1.012,0.0,0.02981
2016-03-09 21:00:00,0.693,0.0,0.0258
2016-03-09 22:00:00,0.62,0.0,0.02751
2016-03-09 23:00:00,0.559,0.0,0.02341
2016-03-10 00:00:00,0.804,0.0,0.01972
2016-03-10 01:00:00,0.242,0.0,0.02017
2016-03-10 02:00:00,0.221,0.0,0.02004
2016-03-10 03:00:00,0.197,0.0,0.02016
2016-03-10 04:00:00,0.201,0.0,0.02094
2016-03-10 05:00:00,0.614,0.0,0.0216
2016-03-10 06:00:00,0.566,0.068,0.02848
2016-03-10 07:00:00,0.368,0.286,0.03544
2016-03-10 08:00:00,0.224,0.626,0.03199
2016-03-10 09:00:00,0.26,1.0,0.03007
2016-03-10 10:00:00,0.249,2.13,0.02553
2016-03-10 11:00:00,0.321,2.443,0.02471
